Entry Date,SKU,ISBN,Book Title,Author,Vendor,Language,Quality,Genre,Description,Pages,Quantity,Cost,Price
2020-09-09,BESHC901119,9788184000641,The Painter,Deepanjana Pal,SCHS,English,Like New,Autobiography - Biography,"On April 29, 1848, in a small estate in Travancore, was born a boy destined to becomemore famous than the ruler of his kingdom. His uncle, noticing his precocious talent at art, took theteenager to the royal court at the invitation of the king to learn painting there. Ravi Varma s debut wasto come seven years later when a Danish painter arrived in court to paint the Maharaja and his wife.The twenty-year-old boldly upstaged the experienced artist, presenting the king with a more flatteringpainting of the royal couple at the same time as the official portrait was unveiled. Jensen, the painter, never forgave Ravi Varma, but for the young man there was no looking back.His reputation grew with each painting. For the first time, an Indian artist was using the realism andsensuality of the European oil painters and applying them to not just ordinary Indians, but to thedeities as well. The artist-prince became India s first celebrity painter. The lines to see his exhibitionof mythological paintings in Bombay in 1890-the first public showing by any Indian artist-wereendless; the prices he commanded were astronomical; then, when he started his own printing press,producing oleographs of his work, Raja Ravi Varma became a household name. Soon, every homehad a Ravi Varma print. For the first time, comes a beautifully told, gripping account of Ravi Varma: the man who was thedarling of the royal courts, but who hardly gave his own wife and children any time; the noblemanwho took the revolutionary step of being an artist, yet who insisted on using the false title of raja;and the idealistic entrepreneur who bankrupted himself running a printing press, yet whose dreamof bringing art to the masses became a reality. Blending fact with imagination, writing with wit andlyricism, Deepanjana Pal takes you into the life of an extraordinary man and brings him vividlyalive.",284,0,15,20
2021-09-30,BESHC902771,9780263847048,Her Celebrity Surgeon,Kate Hardy; ,SCHS,English,Good,Romance,"Fiery registrar Sophie Harrison has never been more furious. She is convinced the new director of surgery has only been appointed for his title. Baron Rupert Charles Radley is a man never out of the gossip rags, with a different woman in tow each week. Plus, experience tells her not to trust men of his class.",185,0,5,13
2020-11-26,BESHC901694,9780755342754,"Deception (Alex Delaware Series, Book 25): A masterfully suspenseful psychological thriller","Kellerman, Jonathan",SCHS,English,Like New,"Novel, Crime, Thriller","Her name is Elise Freeman, and her chilling cry for help - to whoever may be listening - comes too late to save her. On a DVD found near her lifeless body, the emotionally and physically battered woman chronicles a year-and-a-half-long ordeal of monstrous abuse at the hands of three sadistic tormentors. But even more shocking than the lurid details is the revelation that the offenders, like their victim, are teachers at one of LA's most prestigious prep schools. With Elise dead, homicide detective Milo Sturgis is assigned to probe the hallowed halls of Windsor Prep Academy. And if ever he could use Dr Alex Delaware's psychological prowess, it's now.

From the start, this case promises to be an uphill climb for truth and a down-and-dirty fight for justice. Searching for predators among the privileged, Alex and Milo may well be walking into a highly polished death trap.",384,0,10,15
2020-06-07,BESHC900060,9780007782222,The Sky is Falling,Sidney Sheldon,SCHS,English,Like New,"Novel, Crime","The Sky Is Falling is a 2001 crime novel by Sidney Sheldon. It is his third last book before his death in 2007. The book focuses on Dana Evans, a TV anchorwoman trying to find the killer who murdered the Winthrop family",394,0,10,15
2020-06-08,BESHC900116,9780757303142,Chicken Soup for the Soul the Book of Christmas Virtues,Jack Canfield,SCHS,English,Like New,Short story,"Presents stories and activities that focus on the true meaning of Christmas and encourage reflection on the symbolic virtues of the season, including joy, love, gratitude, faith, kindness, simplicity, and wonder.",190,0,15,20
2022-04-14,BESHC903143,9780765364876,Towers of Midnight,Robert Jordan,SCHS,English,Like New,"Fantasy, Novel","
In Towers of Midnight, the Last Battle has started. The seals on the Dark One's prison are crumbling. The Pattern itself is unraveling, and the armies of the Shadow have begun to boil out of the Blight.

The sun has begun to set upon the Third Age.

Perrin Aybara is now hunted by specters from his past: Whitecloaks, a slayer of wolves, and the responsibilities of leadership. All the while, an unseen foe is slowly pulling a noose tight around his neck. To prevail, he must seek answers in Tel'aran'rhiod and find a way--at long last--to master the wolf within him or lose himself to it forever.

Meanwhile, Matrim Cauthon prepares for the most difficult challenge of his life. The creatures beyond the stone gateways--the Aelfinn and the Eelfinn--have confused him, taunted him, and left him hanged, his memory stuffed with bits and pieces of other men's lives. He had hoped that his last confrontation with them would be the end of it, but the Wheel weaves as the Wheel wills. The time is coming when he will again have to dance with the Snakes and the Foxes, playing a game that cannot be won. The Tower of Ghenjei awaits, and its secrets will reveal the fate of a friend long lost.",1245,0,10,18
2020-07-19,BESHC900635,9780099777205,Eastern Vegetarian Cooking,Madhur Jaffrey,SCHS,English,Like New,Cookbook,"The countries of the East offer a dazzling range of vegetarian dishes in a variety of styles. For this definitive book, Madhur Jaffrey, has gathered together the cream of vegetarian recipes from Turkey, Japan, China, India, Korea and the Philippines, among others. With suggestions for menus and a valuable section of general information, this classic of vegetarian cooking in the Far East, is a book no discerning eater (vegetarian or otherwise) should be without.",544,0,15,20
2020-08-21,BESHC901036,9780552153461,Blueeyedboy,Joanne Harris,SCHS,English,Like New,Novel,"A dark and intricately plotted tale of a poisonously dysfunctional family, a blind child prodigy, and a serial murderer who is not who he seems. Told through posts on a webjournal called badguysrock, this is a thriller that makes creative use of all the multiple personalities, disguise and mind games that are offered by playing out a life on the internet.",528,0,10,15
2020-06-10,BESHC900265,9781847383891,The Joy of Spooking : Fiendish Deeds,P. J. Bracegirdle,SCHS,English,Like New,Children books Age 9-12,"Eleven-year-old Joy Wells is a literary horror fan and proud resident of Spooking, the run-down, eerie town at the top of the hill. At the bottom of the hill is Darlington, a plastic suburban 'paradise' where Joy and her brother go to school. When the mayor of Darlington announces that a water park is soon to be constructed over the Spooking Bog, Joy knows she must act quickly if she's going to save her ancient, beloved town from becoming just as cute and icky as Darlington. But the Spooking Bog holds many mysteries...Could the legend of the Bog Fiend be true? Who is the bizarre woman that lives there in the house on stilts? And what will become of it all when the bulldozers come rolling up the hill from Darlington? Joy is on a mission to find out, but someone wants to stop her, and they'll do whatever it takes...",192,0,15,20
2020-09-23,BESHC901350,9780340994290,The Man who Disappeared,Clare Morrall,SCHS,English,Like New,Novel,"The new novel from the Booker-shortlisted author of ASTONISHING SPLASHES OF COLOUR, an absorbing and thought-provoking tale about the impact on a happy family when the husband mysteriously vanishes.",376,0,20,25
2020-11-29,BESHC901761,9780753722442,Bring Out the Genius in Your Child,Ken Adams,SCHS,English,Like New,Guide,"Give children the best possible start with techniques to aid their ability to speak, count, write, solve problems, and progress well at school. Let educational expert Ken Adams teach you how to support your child's learning with practical exercises, fun activities and ideas for interactive play.",144,0,10,15
2021-02-25,BESHC902141,9780099474388,The Nonesuch,"Heyer, Georgette",SCHS,English,Like New,Romance,"Sir Waldo Hawkridge -- wealthy, handsome, eligible, illustrious, and known as 'The Nonesuch' for his athletic prowess -- believes he is past the age of falling in love. But when he comes North to inspect his unusual inheritance at Broom Hall in the West Riding, his arrival leads to the most entertaining of ramifications ...

Georgette Heyer won the hearts of a huge worldwide readership with her peerless novels of historical romance - a readership which continues to this day - and in The Nonesuch, all her storytelling skills are in eveidence.",320,0,15,20
2021-10-05,BESHC902808,9780141011233,A History of the Middle East,Peter Mansfield,SCHS,English,Acceptable,"History, Politics","A brilliant overview of the history and politics of the Middle East over the last two centuries, from Napoleon's assault on Egypt, through the slow decline and fall of the Ottoman Empire, to the painful emergence of modern nations, the Palestinian question and the growth of Islamic fundamentalism.
With two new chapters on recent developments in the Middle East.
This book will be essential reading for anyone wanting to understand what is perhaps the most crucial and volatile nerve centre of the world.",430,0,5,13
2022-04-14,BESHC903136,9780141186214,Under the Banyan Tree and Other Stories,R. K. Narayan; ,SCHS,English,Like New,"Classics, Novel","A collection of stories about characters from every walk of Indian life - merchants, beggars, herdsmen, rogues - all of whose lives are microcosms of the human experience.",193,0,20,28
2025-09-02,BESHC903749,9781409159384,Even Dogs in the Wild,Ian Rankin; ,SCHS,English,Good,"Crime, Mystery - Suspense, Novel, Thriller","Someone knows where the bodies are buried... 'Taut, dark and expertly crafted tale' [GUARDIAN] from the No.1 bestselling author of A SONG FOR THE DARK TIMES 'No one in Britain writes better crime novels today' Evening Standard Retirement doesn't suit John Rebus. He wasn't made for hobbies, holidays or home improvements. Being a cop is in his blood. So when DI Siobhan Clarke asks for his help on a case, Rebus doesn't need long to consider his options. Clarke's been investigating the death of a senior lawyer whose body was found along with a threatening note. On the other side of Edinburgh, Big Ger Cafferty - Rebus's long-time nemesis - has received an identical note and a bullet through his window. Now it's up to Clarke and Rebus to connect the dots and stop a killer. Even Dogs in the Wild brings back Ian Rankin's greatest characters in a story exploring the darkest corners of our instincts and desires.",416,1,10,18
